startWochentag;startDatum;startKM;startOrt;endeWochentag;endeDatum;endeKM;endeOrt;ereignis;bemerkung
Mon;22.01.2018.16:30;114746;VKB - Saarbrücken;Mon;22.01.2018.18:00;114816;TimeTec;Fahrt;
Mon;22.01.2018.06:00;114677;TimeTec;Mon;22.01.2018.07:00;114746;VKB - Saarbrücken;Fahrt;
Fri;19.01.2018.20:00;114657;AGIP - Kaiserslautern;Fri;19.01.2018.20:30;114677;TimeTec;Fahrt;
Fri;19.01.2018.18:30;114582;VKB - Saarbrücken;Fri;19.01.2018.19:45;114657;AGIP - Kaiserslautern;Fahrt;
Fri;19.01.2018.06:00;114513;TimeTec ;Fri;19.01.2018.07:00;114582;VKB - Saarbrücken;Fahrt;
Thu;18.01.2018.16:00;114443;VKB - Saarbrücken ;Thu;18.01.2018.17:00;114513;TimeTec ;Fahrt;
Thu;18.01.2018.06:00;114375;TimeTec ;Thu;18.01.2018.07:00;114443;VKB - Saarbrücken ;Fahrt;
Wed;17.01.2018.13:50;113914;Aral - Rüningen - BS;Wed;17.01.2018.19:00;114375;TimeTec ;Fahrt;
Wed;17.01.2018.13:00;113875;Primas - Wolfsburg ;Wed;17.01.2018.13:30;113914;Aral - Rüningen - BS;Fahrt;
Sun;14.01.2018.15:15;113381;TimeTec;Sun;14.01.2018.19:45;113875;Primas - Wolfsburg ;Fahrt;
Wed;17.01.2018.19:40;113362;AGIP - Kaiserslautern ;Fri;12.01.2018.20:00;113381;TimeTec ;Fahrt;
Fri;12.01.2018.18:00;113279;VKB - Saarbrücken ;Fri;12.01.2018.19:15;113362;AGIP - Kaiserslautern ;Fahrt;
Fri;12.01.2018.06:00;113208;TimeTec ;Fri;12.01.2018.06:45;113279;VKB - Saarbrücken ;Fahrt;
Thu;11.01.2018.15:30;113140;VKB – Saarbrücken ;Thu;11.01.2018.16:45;113208;TimeTec;Fahrt;
Thu;11.01.2018.06:00;113077;TimeTec ;Thu;11.01.2018.06:50;113140;VKB - Saarbrücken ;Fahrt;
Wed;10.01.2018.11:30;112579;Primas - Wolfsburg ;Wed;10.01.2018.18:30;113077;TimeTec ;Fahrt;
Tue;09.01.2018.18:00;112577;Esso - Pirali - WOB;Tue;09.01.2018.18:15;112579;Primas - Wolfsburg;Fahrt;
Tue;09.01.2018.17:45;112576;Primas - Wolfsburg ;Tue;09.01.2018.17:50;112577;Esso - Pirali - WOB;Fahrt;
Sun;07.01.2018.15:00;112100;TimeTec;Sun;07.01.2018.19:30;112576;Primas - Wolfsburg;Fahrt;
Sat;06.01.2018.16:15;112079;AGIP - Kaiserslautern;Fri;06.01.2017.16:30;112100;TimeTec;Fahrt;
Sat;06.01.2018.15:45;112060;TimeTec;Sat;06.01.2018.16:00;112079;AGIP - Kaiserslautern;Fahrt;
Thu;04.01.2018.12:30;111935;VKB - Saarbrücken ;Thu;04.01.2018.13:45;111999;TimeTec;Fahrt;
Thu;04.01.2018.06:00;111869;TimeTec;Thu;04.01.2018.07:10;111935;VKB - Saarbrücken ;Fahrt;
Fri;22.12.2017.19:10;111320;AGIP - Kaiserslautern;Fri;22.12.2017.19:30;111342;TimeTec;Fahrt;
Fri;22.12.2017.18:45;111302;TimeTec;Fri;22.12.2017.19:00;111320;AGIP - Kaiserslautern;Fahrt;
Fri;22.12.2017.12:00;111233;VKB - Saarbrücken;Fri;22.12.2017.13:15;111302;TimeTec;Fahrt;
Fri;22.12.2017.06:00;111167;TimeTec;Fri;22.12.2017.07:00;111233;VKB - Saarbrücken;Fahrt;
Thu;21.12.2017.16:30;111100;VKB - Saarbrücken;Thu;21.12.2017.18:00;111167;TimeTec;Fahrt;
Thu;21.12.2017.06:00;111035;TimeTec ;Thu;21.12.2017.06:50;111100;VKB - Saarbrücken;Fahrt;Projekt VKB in Saarbrücken
Wed;20.12.2017.12:30;110534;Primas - Wolfsburg;Wed;20.12.2017.18:30;111035;TimeTec ;Fahrt;
Tue;19.12.2017.09:00;110528;Hotz-Heitmann - WOB;Tue;19.12.2017.09:30;110534;Primas - Wolfsburg;Fahrt;Inclusive Probefahrt nach Inspektion
